,name_raw,name,actual,score_actual,guess_orig,score_orig,guess_naive,score_naive,guess_complex,score_complex,dif_orig_naive,dif_orig_complex,dif_naive_complex,,dif_act_orig,dif_act_complex
16057,"moindi,_kennedy_mokaya:0","Moindi, Kennedy Mokaya",,,male,1,mostly_female,4,mostly_female,4,3,3,0,,,
19454,"clouatre,_dallas_lavoe:0","Clouatre, Dallas Lavoe",,,female,5,mostly_male,2,mostly_male,2,3,3,0,,,
20781,"cohen-cole,_jamie_nace:0","Cohen Cole, Jamie Nace",,,male,1,mostly_female,4,mostly_female,4,3,3,0,,,
175,"marion,_javier_f.:0","Marion, Javier F.",,,male,1,andy,3,andy,3,2,2,0,,,
227,"cummings,_alex:0","Cummings, Alex",,,male,1,mostly_male,2,andy,3,1,2,1,,,
369,"robinson,_robin_espy:0","Robinson, Robin Espy",,,female,5,mostly_female,4,andy,3,1,2,1,,,
382,"rodriguez,_neysa:0","Rodriguez, Neysa",,,female,5,unknown,3,unknown,3,2,2,0,,,
455,"miller,_gwenn_a.:0","Miller, Gwenn A.",,,female,5,andy,3,andy,3,2,2,0,,,
624,"villa-flores,_javier:0","Villa Flores, Javier",,,male,1,andy,3,andy,3,2,2,0,,,
625,"plopper,_eli_t.:0","Plopper, Eli T.",,,male,1,male,1,andy,3,0,2,2,,,
736,"fleming,_robin:0","Fleming, Robin",,,female,5,mostly_female,4,andy,3,1,2,1,,,
779,"fong,_gisele_l.:0","Fong, Gisele L.",,,female,5,unknown,3,unknown,3,2,2,0,,,
896,"cardenas,_jaime_o.,_jr.:0","Cardenas, Jaime O., Jr.",,,male,1,andy,3,andy,3,2,2,0,,,
1176,"ley,_rock_bergmark:0","Ley, Rock Bergmark",,,male,1,unknown,3,unknown,3,2,2,0,,,
1369,"hilderman,_nalani_e.:0","Hilderman, Nalani E.",,,female,5,unknown,3,unknown,3,2,2,0,,,
1497,"afroz,_sultana:0","Afroz, Sultana",,,female,5,unknown,3,unknown,3,2,2,0,,,
1620,"alanis,_jaime:0","Alanis, Jaime",,,male,1,andy,3,andy,3,2,2,0,,,
1700,"copeland,_cristen_paige:0","Copeland, Cristen Paige",,,female,5,unknown,3,unknown,3,2,2,0,,,
1755,"kang,_jean_s.:0","Kang, Jean S.",,,female,5,mostly_female,4,andy,3,1,2,1,,,
1793,"shang,_kela:0","Shang, Kela",,,female,5,unknown,3,unknown,3,2,2,0,,,
1801,"hume,_leslie_parker_bryant:0","Hume, Leslie Parker Bryant",,,female,5,mostly_female,4,andy,3,1,2,1,,,
1852,"jones,_marsh_wilkinson:0","Jones, Marsh Wilkinson",,,male,1,unknown,3,unknown,3,2,2,0,,,
1990,"schlotterbeck,_marian_e.:0","Schlotterbeck, Marian E.",,,female,5,female,5,andy,3,0,2,2,,,
1996,"daniels,_jean_hodgin:0","Daniels, Jean Hodgin",,,female,5,mostly_female,4,andy,3,1,2,1,,,
2052,"berlin,_leslie_ritt:0","Berlin, Leslie Ritt",,,female,5,mostly_female,4,andy,3,1,2,1,,,
2113,"hankins,_jean_fittz:0","Hankins, Jean Fittz",,,female,5,mostly_female,4,andy,3,1,2,1,,,
2248,"roberts,_paige_w.:0","Roberts, Paige W.",,,female,5,andy,3,andy,3,2,2,0,,,
2294,"cook,_eli:0","Cook, Eli",,,male,1,male,1,andy,3,0,2,2,,,
2443,"smith,_merril_d.:0","Smith, Merril D.",,,male,1,unknown,3,unknown,3,2,2,0,,,
2574,"shah,_nayan_bhupendra:0","Shah, Nayan Bhupendra",,,male,1,unknown,3,unknown,3,2,2,0,,,
2628,"arora,_punita_raval:0","Arora, Punita Raval",,,female,5,unknown,3,unknown,3,2,2,0,,,
2802,"brown,_leslie:0","Brown, Leslie",,,female,5,mostly_female,4,andy,3,1,2,1,,,
2847,"hutton,_frankie_p.:0","Hutton, Frankie P.",,,male,1,andy,3,andy,3,2,2,0,,,
2911,"battle,_whitney_lutricia:0","Battle, Whitney Lutricia",,,female,5,mostly_male,2,andy,3,3,2,1,,,
2952,"mckinley,_shepherd_w.:0","Mckinley, Shepherd W.",,,male,1,unknown,3,unknown,3,2,2,0,,,
3124,"spencer,_alex_m.:0","Spencer, Alex M.",,,male,1,mostly_male,2,andy,3,1,2,1,,,
3178,"cermak,_bonni_kay:0","Cermak, Bonni Kay",,,female,5,unknown,3,unknown,3,2,2,0,,,
3300,"jenkins,_robin_dearmon:0","Jenkins, Robin Dearmon",,,female,5,mostly_female,4,andy,3,1,2,1,,,
3309,"lovit,_alex:0","Lovit, Alex",,,male,1,mostly_male,2,andy,3,1,2,1,,,
3318,"ramamurti,_ravi:1","Ramamurti, Ravi",,,male,1,andy,3,andy,3,2,2,0,,,
3344,"citron,_leslie:0","Citron, Leslie",,,female,5,mostly_female,4,andy,3,1,2,1,,,
3350,"cherry,_haydon_leslie:0","Cherry, Haydon Leslie",,,male,1,unknown,3,unknown,3,2,2,0,,,
